TyreLife,PaceLoss
2.0,2.4215441176470582
3.0,2.192105263157895
4.0,2.1276025641025638
5.0,1.9099565217391308
6.0,1.911111111111111
7.0,1.8253558282208586
8.0,1.832802469135802
9.0,1.8907187499999996
10.0,1.9061655629139074
11.0,1.9265342465753426
12.0,1.9086879432624113
13.0,1.9884328358208954
14.0,1.9491729323308267
15.0,1.9992248062015503
16.0,2.000727272727272
17.0,2.3671896551724134
18.0,2.469153846153845
19.0,1.9781428571428572
20.0,2.688835443037975
21.0,2.202154929577466
22.0,2.2045333333333343
23.0,2.1357413793103452
24.0,2.40392
25.0,2.8263023255813966
26.0,1.5614230769230777
