TyreLife,PaceLoss
2.0,1.3385337837837834
3.0,1.5246073619631897
4.0,1.5077682926829274
5.0,1.4915942857142857
6.0,1.516619318181818
7.0,1.466294444444445
8.0,1.5099142857142858
9.0,1.4587151162790701
10.0,1.4508579545454545
11.0,1.508937142857142
12.0,1.4689642857142853
13.0,1.5639642857142853
14.0,1.5161785714285716
15.0,1.608640243902439
16.0,1.5936918238993716
17.0,1.5681528662420376
18.0,1.6076241610738256
19.0,1.4902624113475185
20.0,1.4381860465116274
21.0,1.421811965811965
22.0,1.3142777777777772
23.0,1.3378350515463915
24.0,1.4099890109890107
25.0,1.3295238095238093
26.0,1.3323670886075951
27.0,1.4597534246575345
28.0,1.2493278688524592
29.0,1.2001636363636357
30.0,1.0800200000000006
31.0,1.027780487804879
32.0,1.1305526315789491
33.0,1.1033142857142857
34.0,0.8729666666666669
35.0,0.7746296296296309
36.0,0.8490000000000021
37.0,0.8600416666666687
38.0,0.7944545454545472
