Compound,Pace,Longevity,Consistency,Degradation Resistance,Freshness
HARD,62.327617814253145,79.47822106643105,65.65507308336763,48.48661210730069,62.5764084813329
MEDIUM,61.206931186213616,51.403724812687194,60.71948567586831,39.771458585808375,60.936499033467555
SOFT,61.09641979974248,23.329228558943335,57.93383137156032,29.18622982526715,61.11053695740351
INTERMEDIATE,15.369031199790783,45.788825561938424,15.691609869203745,82.55569948162378,15.376555527796029
