TyreLife,PaceLoss
1,13.105334340705719
2,12.769806686207268
3,12.447408007555488
4,12.138138304750376
5,11.841997577791933
6,11.558985826680159
7,11.289103051415054
8,11.03234925199662
9,10.788724428424855
10,10.558228580699758
11,10.340861708821333
12,10.136623812789574
13,9.945514892604486
14,9.767534948266068
15,9.602683979774318
16,9.450961987129237
17,9.312368970330825
18,9.186904929379084
19,9.074569864274011
20,8.975363775015609
21,8.889286661603874
22,8.816338524038809
23,8.756519362320413
24,8.709829176448686
25,8.67626796642363
26,8.655835732245244
27,8.648532473913525
28,8.654358191428475
29,8.673312884790095
30,8.705396553998385
31,8.750609199053343
32,8.808950819954973
33,8.88042141670327
34,8.965020989298235
35,9.062749537739872
36,9.173607062028179
37,9.29759356216315
38,9.434709038144794
