Compound,Pace,Longevity,Consistency,Degradation Resistance,Freshness
HARD,62.473542296002066,81.10855084191276,65.65507308336763,47.83660546071681,62.72804855295627
MEDIUM,61.55290123926313,52.07390338946085,60.71948567586831,36.73145622341888,61.23361858728413
SOFT,60.59547369527544,27.187062715930644,57.933831371560316,32.21897806070629,60.65455738518665
INTERMEDIATE,15.378082769459368,39.630483052695745,15.691609869203745,83.21296025515801,15.38377547457295
