Compound,Predicted Pace Loss (s),Median Stint Life (laps),Consistency SD (s),Degradation Rate (s/lap),Predicted Freshness Loss (s)
HARD,1.2728936557335686,24.0,1.1194330801298982,0.020766778098696526,1.004120634188923
MEDIUM,1.5239255319989322,19.0,1.3020854473024166,0.04473982640168509,1.4228114022549967
SOFT,1.548679892406593,14.0,1.4051747679439819,0.07385694978325771,1.3783771975858174
INTERMEDIATE,11.79153625363767,18.0,2.96844193657073,-0.07294813756506499,13.054873016551454
